,0,1
0,<sos>,1
1,<eos>,1
2,<pad>,1
3,<unk>,1
4,the,197765
5,airplane,5129
6,is,98182
7,taking,3888
8,off,4236
9,from,9331
10,runway,2322
11,at,42719
12,airport,2859
13,.,445928
14,an,49875
15,apple,1375
16,hanging,3405
17,a,978650
18,tree,7036
19,with,154806
20,snow,11805
21,on,215665
22,it,26974
23,sun,1313
24,shining,208
25,into,6105
26,this,6745
27,bedroom,2494
28,small,20089
29,seating,131
30,area,8773
31,teddy,5037
32,bears,2412
33,and,140770
34,bear,8738
35,products,135
36,hang,260
37,shelf,1476
38,room,18302
39,decorated,1747
40,matching,231
41,furnishing,9
42,set,2692
43,man,73322
44,shows,1153
45,impressive,14
46,skills,63
47,his,19465
48,skateboard,9810
49,person,24736
50,sitting,52910
51,step,150
52,paper,2634
53,down,23104
54,their,8641
55,legs,789
56,stretched,118
57,in,184012
58,front,19506
59,of,204057
60,them,3413
61,",",44463
62,ramp,2198
63,several,9468
64,feet,826
65,five,929
66,pelicans,35
67,sit,3887
68,water,16502
69,base,1128
70,fall,195
71,dining,1474
72,features,511
73,both,809
74,chairs,2963
75,bench,8914
76,group,21599
77,picture,8868
78,students,171
79,teacher,28
80,giraffe,8055
81,that,28174
82,standing,42477
83,grass,13010
84,using,2764
85,umbrella,7142
86,indoor,358
87,mall,159
88,woman,34209
89,makes,426
90,face,2308
91,as,7663
92,she,892
93,bites,86
94,sandwich,5059
95,eating,8424
96,nearby,849
97,other,12201
98,animals,2769
99,zoo,1876
100,like,2061
101,setting,1297
102,girl,9403
103,chocolate,1530
104,doughnut,1079
105,her,9913
106,mouth,2087
107,herself,255
108,mirror,5129
109,cell,5304
110,phone,8156
111,white,36181
112,shirt,4989
113,black,19339
114,shorts,729
115,playing,14672
116,tennis,19593
117,elderly,376
118,women,4919
119,table,30185
120,outdoors,689
121,balloons,175
122,large,24554
123,ambulance,62
124,motorcycle,7245
125,street,30280
126,giraffes,4578
127,are,41082
128,enclosure,1866
129,eagle,99
130,stuffed,3765
131,animal,2043
132,nailed,19
133,to,68140
134,cows,3569
135,field,20777
136,laying,9369
137,by,17028
138,dark,1859
139,living,7588
140,has,15116
141,television,2937
142,bathroom,14443
143,toilet,10617
144,full,4114
145,stuff,384
146,three,10975
147,people,41938
148,plates,2697
149,glasses,3356
150,watching,3048
151,two,48345
152,play,1792
153,nintendo,1051
154,wii,3398
155,couple,11103
156,kites,3021
157,air,7489
158,back,5564
159,pick,388
160,up,20969
161,truck,7513
162,stands,5518
163,side,12411
164,wet,1142
165,road,10230
166,bus,12736
167,background,5793
168,young,17115
169,video,2815
170,game,9538
171,controllers,653
172,anime,18
173,themed,137
174,traveling,2855
175,lined,1707
176,there,12864
177,zebra,5187
178,some,24328
179,sand,1813
180,bowl,5503
181,fruit,3205
182,containing,957
183,banana,2593
184,apples,1407
185,oranges,1632
186,next,37215
187,sheep,5566
188,pen,951
189,gate,608
190,dog,18191
191,looking,11908
192,through,8595
193,grate,34
194,out,9927
195,window,7367
196,den,165
197,couch,5415
198,chair,5528
199,ottoman,95
200,shelving,73
201,figurine,143
202,chest,206
203,dressed,2123
204,hat,3389
205,dress,1247
206,who,2699
207,riding,18088
208,about,2299
209,cut,2002
210,cake,8337
211,swinging,2832
212,bat,5553
213,ball,11269
214,four,3825
215,grassy,4322
216,oven,3047
217,cooking,1113
218,something,2482
219,men,10680
220,walking,14568
221,dirt,3958
222,glass,5371
223,wine,3620
224,taped,77
225,its,5971
226,filled,6512
227,grazing,3575
228,kid,1609
229,holds,3355
230,bed,12051
231,baseball,15701
232,batter,1959
233,red,17354
234,yellow,8383
235,dogs,2933
236,cross,1378
237,country,1139
238,skiing,3526
239,bridge,1927
240,crosses,190
241,river,2537
242,park,6891
243,sits,9274
244,near,19573
245,lamp,1050
246,meat,2363
247,wrapper,141
248,milk,406
249,swings,689
250,racket,4454
251,falls,97
252,onto,1509
253,surfboarder,21
254,beach,11390
255,wave,4751
256,guy,2604
257,doing,3279
258,trick,2993
259,others,1049
260,watch,1428
261,cameramen,3
262,spectators,338
263,city,10342
264,police,1124
265,player,9771
266,during,3377
267,old,6615
268,time,1191
269,here,429
270,you,318
271,can,1521
272,see,605
273,balls,338
274,yarn,75
275,ad,98
276,needles,32
277,place,970
278,corner,3101
279,green,12587
280,sign,14045
281,donuts,1905
282,being,4309
283,freshly,239
284,made,1957
285,machine,537
286,cathedral,128
287,clock,10560
288,center,853
289,holding,27968
290,fist,53
291,whit,54
292,cleaning,268
293,pizzas,1076
294,pans,422
295,silver,1729
296,pasenger,4
297,trains,1091
298,parked,12542
299,older,1691
300,gentleman,228
301,wearing,9967
302,suit,3278
303,grumpy,11
304,look,1870
305,image,3981
306,teen,86
307,boy,10890
308,birds,2785
309,rocky,636
310,ledge,634
311,sky,6109
312,grey,1612
313,elephant,6912
314,across,3576
315,itself,399
316,kitchenette,33
317,personal,403
318,items,2300
319,displayed,1560
320,attractively,5
321,hair,1640
322,curlers,4
323,under,6514
324,dryer,222
325,bath,1226
326,tub,1842
327,christmas,722
328,presents,74
329,brown,8381
330,comforter,243
331,while,14702
332,pulling,1949
333,stop,6406
334,light,5423
335,thats,83
336,doritos,3
337,past,1651
338,bar,863
339,row,1822
340,boat,5587
341,rests,451
342,food,13237
343,plate,18374
344,broccoli,3594
345,boogie,148
346,board,8046
347,pointing,612
348,towards,1404
349,well,844
350,lamps,347
351,above,3650
352,around,8470
353,lap,1079
354,top,22275
355,computer,8165
356,been,1295
357,placed,1157
358,desk,7365
359,variety,1028
360,vegetables,4448
361,including,895
362,kale,18
363,cabbages,11
364,smiles,790
365,for,10946
366,before,608
367,pizza,12591
368,restaurant,2434
369,workers,304
370,outside,7794
371,plane,4794
372,skiis,192
373,going,3086
374,slope,3770
375,attractive,100
376,pink,3308
377,wooden,8989
378,triangles,9
379,french,707
380,toast,347
381,syrup,112
382,big,5514
383,limes,66
384,rotten,65
385,held,491
386,someones,283
387,hand,4996
388,scissors,1943
389,coffee,2618
390,mug,420
391,crowded,867
392,lots,2541
393,tall,4681
394,building,12394
395,suitcase,2060
396,along,4115
397,floor,4774
398,blue,13745
399,sideways,163
400,over,9615
401,embankment,21
402,equalizer,1
403,screen,1951
404,doll,423
405,ladies,394
406,bicycle,2293
407,helmets,207
408,bananas,4144
409,herd,3195
410,zebras,4256
411,kitchen,13397
412,wood,2556
413,paneling,40
414,cabinets,1710
415,refrigerator,3365
416,stove,3031
417,skateboarder,2335
418,skate,3408
419,keys,150
420,attached,1555
421,unlocking,1
422,door,2904
423,gray,1933
424,cats,1455
425,snuggling,61
426,blanket,1318
427,sunny,1353
428,bird,5307
429,perched,1153
430,surface,1112
431,rusty,261
432,soccer,2927
433,running,2253
434,kicking,399
435,six,432
436,outdoor,1614
437,shoreline,174
438,path,1123
439,orpahanage,1
440,hot,3282
441,many,6954
442,behind,6661
443,words,241
444,stand,4638
445,umbrellas,3079
446,cat,17176
447,stool,211
448,unusual,154
449,shower,2346
450,combination,78
451,colorful,2837
452,posing,2876
453,photo,5452
454,climbing,290
455,tea,410
456,reveals,26
457,finger,187
458,sandwiches,844
459,cups,605
460,cream,767
461,pitcher,1065
462,all,2637
463,cloth,522
464,half,1904
465,bike,3834
466,lane,246
467,vehicles,813
468,laborador,1
469,frisbee,8110
470,parachute,134
471,valley,159
472,structure,468
473,mixed,300
474,collect,13
475,baggage,222
476,conveyor,124
477,belt,195
478,jet,2219
479,airliner,341
480,flying,10155
481,distance,989
482,against,2664
483,horizon,55
484,action,505
485,shot,1194
486,basketball,275
487,between,1793
488,girls,1627
489,groups,162
490,mill,57
491,cars,4575
492,boats,2920
493,shore,1132
494,line,2213
495,graffiti,977
496,walls,1418
497,pile,1757
498,fishnet,7
499,stockings,45
500,boots,209
501,steps,591
502,child,6120
503,horse,8401
504,kept,158
505,quarters,37
506,display,3229
507,hits,304
508,players,2360
509,various,2779
510,stages,41
511,fancy,534
512,talking,2899
513,one,8672
514,snowboarding,572
515,snowy,3462
516,hill,3976
517,goggles,185
518,lady,2767
519,basket,1159
520,pole,3163
521,beak,160
522,commercial,758
523,stain-less,1
524,steel,884
525,orange,4944
526,saying,186
527,meatloaf,16
528,walks,1695
529,rides,1981
530,each,6964
531,tiled,1068
532,hands,2176
533,12,35
534,55,16
535,skateboards,833
536,tower,4530
537,purple,1655
538,snowboard,2338
539,carpet,419
540,takes,879
541,yard,1220
542,tv,2813
543,woods,978
544,trying,1236
545,brush,910
546,teeth,1285
547,shown,2006
548,parking,4622
549,lot,4703
550,grill,465
551,backsides,11
552,elephants,4211
553,signs,3862
554,scarf,187
555,environment,111
556,elevated,140
557,airplanes,772
558,tray,2113
559,counter,5026
560,view,5458
561,hotel,1104
562,piece,3668
563,bedspread,156
564,shoes,977
565,cup,2564
566,newspaper,256
567,onions,635
568,chopped,221
569,instant,4
570,ramen,13
571,operating,113
572,laptop,8627
573,sea,498
574,pieces,1173
575,bacon,431
576,cakes,531
577,windowsill,133
578,subway,729
579,station,3989
580,if,349
581,outfit,460
582,clocks,677
583,case,1143
584,diners,38
585,wait,316
586,be,2442
587,served,808
588,covered,6961
589,jumping,2994
590,new,558
591,ienovo,1
592,pictured,296
593,close,6850
594,reading,1061
595,take,894
596,rest,502
597,construction,586
598,tag,185
599,mattress,204
600,toward,708
601,kite,5918
602,classic,157
603,pickup,375
604,produce,439
605,section,203
606,market,1391
607,cauliflower,158
608,sale,531
609,beside,3557
610,vase,4630
611,ornamental,45
612,fries,1349
613,knees,125
614,surfboard,5926
615,peak,48
616,train,18621
617,pastry,481
618,very,6741
619,strange,172
620,coat,584
621,pot,920
622,affixed,47
623,metal,2359
624,sink,8026
625,inside,5683
626,skis,5647
627,number,1879
628,books,1299
629,collection,369
630,fruits,1395
631,together,6091
632,rectangular,114
633,nuzzles,14
634,another,4913
635,',7936
636,s,7488
637,neck,897
638,lawn,622
639,benches,1054
640,coast,101
641,church,823
642,him,2027
643,booster,12
644,participant,5
645,male,2124
646,doubles,146
647,match,901
648,prepares,777
649,reach,153
650,relaxing,349
651,overstuffed,19
652,horses,4615
653,show,726
654,getting,2749
655,readied,6
656,flight,403
657,wake,137
658,boarder,555
659,gang,46
660,bikers,198
661,motorcycles,2531
662,sidewalk,4869
663,wire,712
664,tracks,4651
665,underneath,1246
666,pedestrian,312
667,unique,190
668,baker,32
669,school,877
670,tour,477
671,roof,552
672,monitor,1515
673,keyboard,3032
674,star,126
675,wars,24
676,statuettes,3
677,model,460
678,tricks,966
679,office,1388
680,recorded,6
681,calico,119
682,resting,1411
683,head,3694
684,peacefully,45
685,shirtless,344
686,surfer,2234
687,painting,724
688,herding,152
689,towel,781
690,little,6481
691,lolly,2
692,pop,42
693,racquet,2291
694,court,6256
695,box,2893
696,car,7103
697,seat,1678
698,bottle,1964
699,bunk,256
700,cool,107
701,make,507
702,jacket,1787
703,bicyclists,108
704,catching,837
705,ride,1249
706,microwave,1808
707,tie,4364
708,but,428
709,not,775
710,pants,508
711,rugs,61
712,nightstands,37
713,talk,170
714,sleeping,1930
715,duplicate,13
716,photos,500
717,2,348
718,body,2710
719,smelling,83
720,stems,78
721,posted,364
722,pedestrians,469
723,mostly,232
724,carrying,2573
725,open,7006
726,lying,2165
727,booth,225
728,suv,113
729,buildings,3196
730,international,25
731,house,2430
732,pancakes,244
733,passenger,2171
734,buses,1708
735,pavement,417
736,post,1001
737,indicating,142
738,names,117
739,backpack,727
740,ski,3373
741,smiling,2982
742,birthday,1443
743,pretty,994
744,toy,1795
745,4,122
746,mice,49
747,smooth,16
748,surrounded,1818
749,darkness,17
750,making,1499
751,pottery,91
752,wheel,393
753,pool,715
754,catch,1311
755,underwater,23
756,theme,92
757,chopping,85
758,neatly,353
759,separated,101
760,cutting,3070
761,waiting,2437
762,pitch,1145
763,umpire,691
764,catcher,1140
765,ticket,48
766,entrance,293
767,van,666
768,sugar,219
769,knife,1835
770,these,425
771,children,3273
772,same,708
773,flowers,4711
774,style,771
775,desserts,270
776,checkered,293
777,computers,1155
778,bunch,5437
779,baby,4515
780,feed,171
781,mother,734
782,neighborhood,226
783,located,255
784,mayfield,1
785,rail,1266
786,pebbly,4
787,trailer,528
788,kids,1868
789,ground,4435
790,blond,166
791,female,1415
792,claim,99
793,steamed,72
794,third,129
795,baseman,49
796,dessert,701
797,someone,2513
798,touching,407
799,looks,3037
800,cornbread,9
801,was,510
802,cooked,713
803,cast,101
804,iron,227
805,pan,1463
806,headphones,299
807,drinking,1447
