landspace,animal,human
0.91,0.04,0.05
0.721521567,0.151588969,0.126889464
0.623746977,0.203991508,0.172261514
0.564687563,0.233682187,0.20163025
0.525354291,0.252581414,0.222064295
0.497348219,0.265589809,0.237061972
0.476420292,0.275057266,0.248522442
0.460201006,0.282240799,0.257558195
0.447268337,0.287869905,0.264861758
0.436718649,0.292395461,0.27088589
0.427950833,0.296110456,0.27593871
0.420549777,0.299213203,0.28023702
0.414219739,0.301842549,0.283937713
0.408744395,0.304098516,0.287157089
0.403961904,0.306054935,0.289983161
0.399748796,0.307767454,0.29248375
0.396009251,0.309278799,0.29471195
0.392667781,0.310622301,0.296709917
0.389664114,0.311824341,0.298511546
0.386949545,0.312906061,0.300144393
0.384484298,0.313884606,0.301631096
0.382235563,0.314774018,0.302990419
0.380176043,0.315585909,0.304238048
0.37828284,0.316329963,0.305387197
0.376536604,0.317014319,0.306449077
0.374920873,0.317645867,0.307433259
0.373421555,0.318230479,0.308347966
0.372026514,0.318773187,0.309200299
0.370725242,0.319278333,0.309996426
0.369508598,0.319749677,0.310741725
0.36836859,0.320190497,0.311440913
0.367298203,0.32060366,0.312098137
0.36629125,0.320991684,0.312717066
0.365342258,0.321356793,0.313300949
0.364446363,0.321700956,0.313852681
0.363599234,0.322025921,0.314374845
0.362796994,0.322333251,0.314869755
0.36203617,0.322624339,0.315339491
0.361313636,0.32290044,0.315785925
0.360626573,0.32316268,0.316210747
0.359972433,0.323412076,0.316615492
0.359348905,0.323649548,0.317001547
0.35875389,0.323875931,0.317370179
0.358185477,0.324091982,0.31772254
0.357641922,0.324298393,0.318059685
0.357121628,0.324495794,0.318382578
0.356623134,0.324684762,0.318692104
0.356145099,0.324865825,0.318989075
0.355686289,0.325039469,0.319274242
0.355245567,0.325206141,0.319548292
0.354821884,0.325366251,0.319811865
0.354414272,0.32552018,0.320065549
0.354021832,0.325668278,0.32030989
0.353643734,0.32581087,0.320545396
0.353279205,0.325948257,0.320772537
0.352927529,0.32608072,0.320991751
0.352588037,0.326208518,0.321203445
0.352260106,0.326331893,0.321408001
0.351943157,0.326451071,0.321605772
0.351636647,0.326566262,0.321797092
0.351340068,0.326677662,0.32198227
0.351052946,0.326785456,0.322161598
0.350774835,0.326889817,0.322335348
0.350505319,0.326990904,0.322503777
0.350244004,0.327088871,0.322667126
0.349990521,0.327183859,0.32282562
0.349744525,0.327276001,0.322979473
0.349505688,0.327365425,0.323128887
0.349273702,0.327452248,0.32327405
0.349048277,0.327536582,0.323415141
0.348829138,0.327618532,0.32355233
0.348616026,0.327698199,0.323685775
0.348408696,0.327775676,0.323815628
0.348206915,0.327851053,0.323942033
0.348010464,0.327924413,0.324065124
0.347819134,0.327995836,0.32418503
0.347632728,0.328065398,0.324301874
0.347451058,0.328133172,0.32441577
0.347273946,0.328199224,0.324526831
0.347101222,0.32826362,0.324635158
0.346932725,0.328326421,0.324740854
0.346768303,0.328387686,0.324844012
0.346607808,0.32844747,0.324944722
0.346451103,0.328505826,0.325043071
0.346298054,0.328562805,0.325139141
0.346148535,0.328618456,0.325233009
0.346002425,0.328672823,0.325324752
0.345859609,0.328725951,0.32541444
0.345719976,0.328777882,0.325502141
0.345583422,0.328828656,0.325587922
0.345449846,0.328878311,0.325671843
0.345319151,0.328926883,0.325753966
0.345191246,0.328974408,0.325834346
0.345066041,0.329020919,0.32591304
0.344943453,0.329066448,0.325990099
0.3448234,0.329111026,0.326065575
0.344705803,0.329154682,0.326139515
0.34459059,0.329197445,0.326211965
0.344477687,0.329239342,0.326282971
0.344367027,0.329280399,0.326352575
